"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356293.5440989,2.18390605481272e-05
3,4356190.99728751,2.36814917853223e-05
4,4356088.76811393,2.78500912193237e-05
5,4355980.51513723,3.35373448400595e-05
6,4355899.50795871,3.96186975751471e-05
7,4355811.27916735,4.54273716231172e-05
8,4355720.20632476,5.1046166382191e-05
9,4355621.8638077,5.65435190181029e-05
10,4355516.14650219,6.2045958355785e-05
11,4355402.81066528,6.76433299693938e-05
12,4355281.51415713,7.34028480889518e-05
13,4355151.84123699,7.93777956617507e-05
14,4355013.31733496,8.56129374593251e-05
15,4354865.4174315,9.21479000582686e-05
16,4354707.5706025,9.90193738802648e-05
17,4354539.16190085,0.00010626249311856
18,4354359.53278939,0.000113911812344039
19,4354167.98041499,0.000122001955081859
20,4354002.7836348,0.000129802217547621
21,4353828.43780502,0.000136879550508252
22,4353645.57464933,0.000143579582285421
23,4353454.50709705,0.00015012242403461
24,4353255.33906872,0.000156649781693756
25,4353048.03637694,0.000163254307971916
26,4352832.47231205,0.000169997867603195
27,4352608.45707609,0.000176922997397181
28,4352375.75673314,0.000184060088513032
29,4352134.10530789,0.00019143187121936
30,4351883.2127145,0.000199056305500389
31,4351622.76965652,0.000206948355641628
32,4351352.44932363,0.000215121215393046
33,4351163.04984324,0.000221784087030974
34,4350969.51695913,0.000225917673310736
35,4350773.77902438,0.000228376977100256
36,4350577.13712699,0.000229718740717489
37,4350380.47045786,0.000230306754229839
38,4350184.37421629,0.000230379661972574
39,4349989.25231607,0.000230094784099925
40,4349795.37951267,0.00022955641237398
41,4349602.94325876,0.000228834232959321
42,4349414.1586744,0.000227946101679964
43,4349230.46109113,0.00022681760481332
44,4349051.07398662,0.000225417766845145
45,4348875.46558903,0.000223759989390469
46,4348703.26623792,0.00022187798157518
47,4348534.2139177,0.000219812375654281
48,4348368.11836646,0.000217603642786594
49,4348204.83741593,0.000215288649223909
50,4348044.26132571,0.000212899258378525
51,4347886.30242349,0.000210462057763333
52,4347730.888233,0.000207998658347153
53,4347577.95686681,0.000205526248122335
54,4347427.45397956,0.00020305823858705
55,4347279.33071257,0.000200604895859772
56,4347133.54224584,0.000198173904631636
57,4346990.04686323,0.000195770883938462
58,4346848.80526794,0.000193399809017898
59,4346709.78010862,0.000191063366436979
60,4346572.93564309,0.000188763247104166
61,4346438.2374786,0.000186500377665881
62,4346305.6523877,0.000184275110660924
63,4346175.14816067,0.000182087373142526
64,4346046.693488,0.000179936784942086
65,4345920.25787871,0.00017782274331066
66,4345795.8115749,0.000175744501700629
67,4345673.32548968,0.000173701221408381
68,4345552.77115798,0.000171692010793142
69,4345434.12068632,0.000169715958493063
70,4345317.34673657,0.00016777214152743
71,4345202.4224535,0.000165859666453805
72,4345089.321465,0.000163977661672371
73,4344978.01784783,0.000162125290648224
74,4344868.48610288,0.000160301753650447
75,4344760.70114458,0.000158506289931608
76,4344654.63827134,0.000156738181960715
77,4344550.27315576,0.000154996751905794
78,4344447.58183493,0.000153281361716343
79,4344346.54069159,0.000151591410591836
80,4344247.12644788,0.000149926333261829
81,4344149.31615523,0.000148285598137459
82,4344053.08718154,0.000146668703399764
83,4343958.41720882,0.000145075176032202
84,4343865.2842241,0.000143504569025701
85,4343773.66651159,0.000141956458672351
86,4343683.54264604,0.000140430441913753
87,4343594.89148876,0.000138926134815445
88,4343507.69220123,0.00013744317774977
89,4343421.92420586,0.000135981220837505
90,4343337.56719335,0.000134539926658812
91,4343254.60114432,0.00013311897828239
92,4343173.00628692,0.000131718063826357
93,4343092.76311551,0.000130336883244218
94,4343013.85239703,0.000128975150610346
95,4342936.25513734,0.000127632582195962
96,4342859.95260458,0.000126308904710843
97,4342784.92632471,0.000125003854260435
98,4342711.15805236,0.000123717168781742
99,4342638.62979885,0.000122448594955235
100,4342567.32382079,0.000121197885617557
101,4342497.22259988,0.000119964795338062
102,4342428.30886577,0.000118749085343249
103,4342360.56557827,0.000117550520218227
104,4342293.97592753,0.00011636886789166
105,4342228.52334068,0.000115203901174439
106,4342164.19145924,0.000114055397038386
107,4342100.96415527,0.000112923136671679
108,4342038.82552527,0.000111806901527179
109,4341977.75987451,0.000110706472623889
110,4341917.75173002,0.000109621640640035
111,4341858.78583651,0.000108552195012251
112,4341800.84714687,0.000107497929091202
113,4341743.92081912,0.000106458637841851
114,4341687.99203991,0.000105434116427775
115,4341633.04615418,0.000104424161860016
116,4341579.06871565,0.000103428573390676
117,4341526.04667719,0.000102447169211032
118,4341473.96620647,0.000101479756094813
119,4341422.81622462,0.000100526178507662
120,4341372.58015973,9.95862043571919e-05
121,4341323.24301526,9.86596231060475e-05
122,4341274.79366635,9.77462765519472e-05
123,4341227.2192119,9.68459824786073e-05
124,4341180.50689873,9.59585599170576e-05
125,4341134.64444581,9.50838332448108e-05
126,4341089.61966029,9.42216279640515e-05
127,4341045.41936155,9.33717580620667e-05
128,4341002.03265756,9.25340642005506e-05
129,4340959.4472665,9.17083708619997e-05
130,4340917.65155312,9.08945104873627e-05
131,4340876.63404762,9.0092317434641e-05
132,4340836.3834117,8.93016275521112e-05
133,4340796.88854895,8.85222795648686e-05
134,4340758.13858975,8.77541149950382e-05
135,4340720.1226374,8.6996976789617e-05
136,4340682.8299217,8.62507080855439e-05
137,4340646.24994855,8.55151529522456e-05
138,4340610.37233265,8.47901594719895e-05
139,4340575.18684257,8.40755790306363e-05
140,4340540.68340105,8.33712634723777e-05
141,4340506.85206895,8.26770658128672e-05
142,4340473.68305148,8.19928420306617e-05
143,4340441.16628148,8.13184440306071e-05
144,4340409.29328956,8.06537466874093e-05
145,4340378.05322319,7.99985895612141e-05
146,4340347.43773926,7.93528492677056e-05
147,4340317.43862142,7.8716404154998e-05
148,4340288.04724072,7.80891263785994e-05
149,4340259.25329374,7.74708633258843e-05
150,4340231.04695041,7.68614692989931e-05
151,4340203.42080414,7.62608339242314e-05
152,4340176.36652158,7.56688333179277e-05
153,4340149.87554375,7.50853403105061e-05
154,4340123.9398692,7.45102359203878e-05
155,4340098.55141116,7.39433999117018e-05
156,4340073.70239766,7.33847166893459e-05
157,4340049.38387491,7.28340532490922e-05
158,4340025.58922025,7.22913109225759e-05
159,4340002.310416,7.17563704921374e-05
160,4339979.5397808,7.12291176943852e-05
161,4339957.26998798,7.0709443491363e-05
162,4339935.49367621,7.0197238332313e-05
163,4339914.20364445,6.96923950272351e-05
164,4339893.39285306,6.91948087625475e-05
165,4339873.05439142,6.87043763224155e-05
166,4339853.18124112,6.82209904764694e-05
167,4339833.76653315,6.77445496693256e-05
168,4339814.80359584,6.72749584675288e-05
169,4339796.28580206,6.68121182333685e-05
170,4339778.20661793,6.63559299506588e-05
171,4339760.55962854,6.59062979305877e-05
172,4339743.3384819,6.54631289984702e-05
173,4339726.53693487,6.50263306476776e-05
174,4339710.14881328,6.45958107143725e-05
175,4339694.16764801,6.41714734241217e-05
176,4339678.5877938,6.37532351447517e-05
177,4339663.40346704,6.3341010216051e-05
178,4339648.60952041,6.29347225063432e-05
179,4339634.20063475,6.25342935177315e-05
180,4339620.17022279,6.21396258673706e-05
181,4339606.51175227,6.17506229767526e-05
182,4339593.21978788,6.13672045847315e-05
183,4339580.28977301,6.09893035014077e-05
184,4339567.71626283,6.06168393233025e-05
185,4339555.49382408,6.02497318328324e-05
186,4339543.61744906,5.98879076171706e-05
