"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356293.5440989,2.18390605481272e-05
3,4356190.99728751,2.36814917853223e-05
4,4356088.76811393,2.78500912193237e-05
5,4355980.51431258,3.35373448273862e-05
6,4355936.91629186,3.88849220484731e-05
7,4355890.79024163,4.27529969619868e-05
8,4355844.4411747,4.55708201131993e-05
9,4355797.06257945,4.76283960989818e-05
10,4355749.10019394,4.91459411305572e-05
11,4355700.85774055,5.02728162486564e-05
12,4355652.54314712,5.11115219527052e-05
13,4355604.29962933,5.17333412039326e-05
14,4355556.22660173,5.21885951003433e-05
15,4355508.39371511,5.25133877931786e-05
16,4355460.85032796,5.27340925684376e-05
17,4355413.63187779,5.28703410513341e-05
18,4355366.76415049,5.29370207373486e-05
19,4355320.26634509,5.29456453420583e-05
20,4355279.48129459,5.27994583126189e-05
21,4355239.19988333,5.24527632344667e-05
22,4355199.52341796,5.19699943949745e-05
23,4355160.51791383,5.13945925893572e-05
24,4355122.22495592,5.07561066126803e-05
25,4355084.66938375,5.00748505559301e-05
26,4355047.86452603,4.93649435839181e-05
27,4355011.81579837,4.86363239351438e-05
28,4354976.52317786,4.78960877755154e-05
29,4354941.98287415,4.71493672577105e-05
30,4354908.18852215,4.63999437254852e-05
31,4354875.13197699,4.56506450051261e-05
32,4354842.804065,4.49036211203607e-05
33,4354817.05093411,4.40435769180616e-05
34,4354792.02759492,4.301477088425e-05
35,4354767.81664614,4.1885141205162e-05
36,4354744.46492069,4.07000949456967e-05
37,4354721.99453958,3.94900036213992e-05
38,4354700.41080729,3.82751659675263e-05
39,4354679.70766773,3.70691025171663e-05
40,4354659.87148901,3.58807618430961e-05
41,4354640.88368037,3.47159981425977e-05
42,4354623.033353,3.35742011311173e-05
43,4354606.48408424,3.24420705132923e-05
44,4354591.0691116,3.13138127655334e-05
45,4354576.66392561,3.01907856752214e-05
46,4354563.17296899,2.90775481736334e-05
47,4354550.52070643,2.79796662045287e-05
48,4354538.64561619,2.69025570216231e-05
49,4354527.49613617,2.58509367373829e-05
50,4354517.02791832,2.48286094221709e-05
51,4354507.20196272,2.38384432254078e-05
52,4354497.98333485,2.28824395535889e-05
53,4354489.34028058,2.19618445992738e-05
54,4354481.24360573,2.10772725952069e-05
55,4354473.66623605,2.02288250341088e-05
56,4354466.58289525,1.94161989863306e-05
57,4354459.96987407,1.86387806357824e-05
58,4354453.80484778,1.78957235731919e-05
59,4354448.06673677,1.71860135781959e-05
60,4354442.73559645,1.65085215478e-05
61,4354437.79252443,1.58620448390463e-05
62,4354433.21958393,1.52453403092379e-05
63,4354428.99973726,1.46571496947546e-05
64,4354425.11678725,1.40962187834917e-05
65,4354421.55532572,1.35613120487658e-05
66,4354418.30068623,1.30512230551506e-05
67,4354415.33890147,1.25647822053531e-05
68,4354412.65666688,1.21008609573891e-05
69,4354410.24130115,1.16583760030258e-05
70,4354408.08071409,1.12362905460053e-05
71,4354406.16337563,1.0833614763285e-05
72,4354404.47828682,1.0449405639085e-05
73,4354403.0149547,1.00827662501559e-05
74,4354401.76336479,9.73284466589213e-06
75,4354400.71395654,9.39883209233511e-06
76,4354399.85760238,9.07996118857088e-06
77,4354399.18558676,8.77550432938747e-06
78,4354398.68958543,8.48477165243019e-06
79,4354398.36164842,8.20710927485378e-06
80,4354398.19417948,7.94189715390942e-06
81,4354398.179924,7.68854778673257e-06
82,4354398.31194536,7.44650350830709e-06
83,4354398.58361712,7.21523557361643e-06
84,4354398.98860757,6.9942424212753e-06
85,4354399.52086085,6.78304757392169e-06
86,4354400.17459188,6.58119903863182e-06
87,4354400.94426842,6.38826727843981e-06
88,4354401.82460693,6.20384478034201e-06
89,4354402.81055103,6.02754367790854e-06
90,4354403.89725518,5.85899389844871e-06
91,4354405.08010206,5.69784520464719e-06
92,4354406.35467179,5.543763737608e-06
93,4354407.71673795,5.39643177097878e-06
94,4354409.16225818,5.25554668879209e-06
95,4354410.68736629,5.12082027336049e-06
96,4354412.2883651,4.99197809006645e-06
97,4354413.96171748,4.86875843860555e-06
98,4354415.70404212,4.75091188993364e-06
99,4354417.51210352,4.63820039010063e-06
100,4354419.38280812,4.53039708162129e-06
101,4354421.31319584,4.42728537461422e-06
102,4354423.30043609,4.32865878444122e-06
103,4354425.34181881,4.23432009812961e-06
104,4354427.43475981,4.14408174884086e-06
105,4354429.57677579,4.05776350095893e-06
106,4354431.76549791,3.9751938044958e-06
107,4354433.99865961,3.89620877042454e-06
108,4354436.27409212,3.82065199810051e-06
109,4354438.58972091,3.74837399795918e-06
110,4354440.94356096,3.67923182809508e-06
111,4354443.33371594,3.61308912874331e-06
112,4354445.7583697,3.54981545965115e-06
113,4354448.21578413,3.48928606375772e-06
114,4354450.70429695,3.43138172573045e-06
115,4354453.22231738,3.37598844703194e-06
116,4354455.76832345,3.32299722121475e-06
117,4354458.34086128,3.27230399793794e-06
118,4354460.9385357,3.22380895779761e-06
119,4354463.56002224,3.17741739368519e-06
120,4354466.20405294,3.13303866908414e-06
121,4354468.86940251,3.09058518419435e-06
122,4354471.55490786,3.04997383343471e-06
123,4354474.25945203,3.0111248209123e-06
124,4354476.98197194,2.97396222519695e-06
125,4354479.7214449,2.93841300063406e-06
126,4354482.47689825,2.90440769589382e-06
127,4354485.24739716,2.87187953572496e-06
128,4354488.03204966,2.84076480128892e-06
129,4354490.83000424,2.81100265513099e-06
130,4354493.64044631,2.78253487754274e-06
131,4354496.46259532,2.75530565648738e-06
132,4354499.2957009,2.72926129790861e-06
133,4354502.13904281,2.70435024433672e-06
134,4354504.99194556,2.68052432489972e-06
135,4354507.85375436,2.65773665967429e-06
136,4354510.72384539,2.63594256923908e-06
137,4354513.60162116,2.61509926979357e-06
138,4354516.48651048,2.59516579287366e-06
139,4354519.37796713,2.57610297886287e-06
140,4354522.27546883,2.55787334304838e-06
141,4354525.17851606,2.54044101407082e-06
142,4354528.08663179,2.52377171376914e-06
143,4354530.99935943,2.50783260487716e-06
144,4354533.91626227,2.4925922553751e-06
145,4354536.83692289,2.47802059647782e-06
146,4354539.76094236,2.46408886341169e-06
147,4354542.68793893,2.45076950340347e-06
148,4354545.61754774,2.43803615685641e-06
149,4354548.54941948,2.42586356031885e-06
150,4354551.48322119,2.41422760309406e-06
151,4354554.41863938,2.40310554869162e-06
152,4354557.3553669,2.39247510751103e-06
153,4354560.2931127,2.38231512213136e-06
154,4354563.23159958,2.37260541443365e-06
155,4354566.17056089,2.36332654480617e-06
156,4354569.10974449,2.3544600993665e-06
157,4354572.04890656,2.34598824722006e-06
158,4354574.98781634,2.33789407980818e-06
159,4354577.92625333,2.33016140914078e-06
160,4354580.86400483,2.32277459837591e-06
161,4354583.8008696,2.31571881577124e-06
162,4354586.73665596,2.30897990488409e-06
163,4354589.6711809,2.30254431736544e-06
164,4354592.60426949,2.29639908360771e-06
165,4354595.53575407,2.29053175129884e-06
166,4354598.46547351,2.28493032723853e-06
167,4354601.39327255,2.27958323461927e-06
168,4354604.31900687,2.27447961879534e-06
169,4354607.24253759,2.26960900130485e-06
170,4354610.16372988,2.26496119370051e-06
171,4354613.08245845,2.26052674767649e-06
172,4354615.99860247,2.25629647071151e-06
173,4354618.9120472,2.2522616138227e-06
174,4354621.8226827,2.24841382703009e-06
175,4354624.73040511,2.24474516904751e-06
176,4354627.63511516,2.24124802687212e-06
