"day","susceptibles","percentage_infected"
177,4355625.12952476,1.08133387129365e-06
178,4355626.5984517,1.08122873510676e-06
179,4355628.06474618,1.08113005721292e-06
180,4355629.52841007,1.08103743711686e-06
181,4355630.98944553,1.08095051537039e-06
182,4355632.44785483,1.08086894600047e-06
183,4355633.90364037,1.08079240282614e-06
184,4355635.35680462,1.08072057177291e-06
185,4355636.80735015,1.08065314996209e-06
186,4355638.25527989,1.08058988633869e-06
187,4355639.70059674,1.08053052343459e-06
188,4355641.14330354,1.08047480011838e-06
189,4355642.58340333,1.08042248340409e-06
190,4355644.02089958,1.08037339454219e-06
191,4355645.45579541,1.08032731327963e-06
