"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356291.89510112,2.18649551669045e-05
3,4356184.18736934,2.38402762428017e-05
4,4356070.76565451,2.83854337701128e-05
5,4355943.20675374,3.48564445184293e-05
6,4355883.42271745,4.13239254846219e-05
7,4355817.67953128,4.64912471063639e-05
8,4355747.14348338,5.08306215513801e-05
9,4355672.5431401,5.46417309959448e-05
10,4355594.3248003,5.81165179356162e-05
11,4355512.75259565,6.13793599632285e-05
12,4355427.9725358,6.45120217527268e-05
13,4355340.05361613,6.75692507277528e-05
14,4355249.01416605,7.05885377731023e-05
15,4355154.83879184,7.35962718083097e-05
16,4355057.48919913,7.66116105042399e-05
17,4354956.91125734,7.96489838988312e-05
18,4354853.03942851,8.27196572372862e-05
19,4354745.7996916,8.58327707965293e-05
20,4354635.11135999,8.89959959675793e-05
21,4354520.8882808,9.2215982042529e-05
22,4354403.03958474,9.54986475737275e-05
23,4354281.47024359,9.88494110020534e-05
24,4354156.08117466,0.000102273258377042
25,4354026.76959764,0.000105774902572269
26,4353893.42916535,0.000109358861468144
27,4353755.949882,0.000113029459068664
28,4353614.21822894,0.00011679089840438
29,4353468.11718704,0.000120647299612211
30,4353317.52616059,0.000124602694727674
31,4353162.32101865,0.000128661067698421
32,4353002.37409829,0.000132826367409918
33,4352837.5539928,0.000137102514569394
34,4352667.7258283,0.000141493417472975
35,4352492.75106548,0.000146002977926366
36,4352312.48749986,0.000150635099360046
37,4352126.78930806,0.000155393692773442
38,4351935.50679243,0.000160282681664722
39,4351738.48652314,0.000165306006930009
40,4351535.57117799,0.000170467630149537
41,4351326.59985883,0.000175771535758569
42,4351113.04517013,0.000181198874368662
43,4350895.87683584,0.000186668574743833
44,4350674.38599043,0.00019213769198429
45,4350448.06100106,0.000197600927590269
46,4350216.51624735,0.000203071402915716
47,4349979.44661903,0.000208569962484047
48,4349736.59831815,0.000214119416383003
49,4349487.75011706,0.000219741631497654
50,4349232.70130977,0.000225456229362974
51,4348971.26393208,0.000231280158436678
52,4348703.25774663,0.000237227724154316
53,4348428.50699354,0.000243310834203133
54,4348146.83827843,0.000249539326462097
55,4347858.07920795,0.000255921311935674
56,4347562.05751995,0.000262463493504411
57,4347258.60047525,0.000269171437462193
58,4346947.53450715,0.000276049815973729
59,4346628.68498269,0.000283102601262972
60,4346301.87604657,0.000290333223811337
61,4345966.93056375,0.000297744690863252
62,4345623.67005554,0.000305339697321666
63,4345271.91469788,0.000313120696194712
64,4344911.4833503,0.000321089958645885
65,4344542.19358295,0.000329249614148251
66,4344163.86172686,0.000337601686869618
67,4343776.30294143,0.000346148117184564
68,4343379.3312923,0.000354890775732795
69,4342972.75984712,0.000363831473977007
70,4342556.40073791,0.0003729719660487
71,4342130.06525556,0.000382313945964273
72,4341693.5642569,0.00039185907317759
73,4341246.70778835,0.000401608924148901
74,4340789.3057707,0.000411565037520711
75,4340321.16761398,0.000421728835148479
76,4339842.10290042,0.000432101759342397
77,4339351.92102582,0.000442685044986228
78,4338850.43194494,0.000453479906694633
79,4338337.4457298,0.000464487420127872
80,4337812.77322633,0.000475708552635593
81,4337276.2265083,0.000487144153002032
82,4336727.61820755,0.000498794931962615
83,4336166.76288126,0.000510661439558631
84,4335593.47604223,0.00052274408959494
85,4335007.57548643,0.000535043103637721
86,4334408.88091796,0.000547558528733832
87,4333797.21372566,0.000560290274451793
88,4333172.40041204,0.000573237894709816
89,4332534.26676245,0.000586400989278165
90,4331882.64426719,0.00059977877495139
91,4331217.36722357,0.00061337022509291
